What do you think about the behavior of Crimson One?,You will be presented with some statements. Please choose your level of agreement with the statements using the options given. ,Here is a reminder of the scenario in case you need it. Please take into account that all the questions will make reference to it:  Crimson One is an American construction business that builds residential properties in the USA. The business has around 300 employees. Crimson One has been operating for over ten years and its financial situation is very good. One day Crimson One owners decide to increase their profits and start employing cheaper materials to construct houses in low-income US suburbs where it can go unnoticed. The strategy is a success for Crimson One and the business owners decide to stick with it. However several American owners and tenants are eventually impacted by the use of cheap materials and they later find themselves spending money on house maintenance and repairs. ,Dir1,Dir2,Dir3,Dir4,Ind1,Ind2,Ind3,Ind4,,,,,,Eq1,Eq2,N1,N2,Des1,Des2,Dep1,Dep 2,Bla1,Bla2,Bla3,Iden1,Iden2,Iden3,Iden4,Iden5,Iden6,
"Im concerned about the company using lower quality materials in some areas, especially if this intentional decision compromised the safety and expectations of the customers who trusted them.  The standard of performance for home builders would be expected to be quite high.  We need more information about this decision and the reasoning behind it.",,,5,2,6,1,5,2,4,3,6,7,6,5,44,2,2,4,4,3,3,6,5,1,7,6,7,7,7,5,5,6,37
"I do not find it just or fair that they are looking to increase their profits by employing cheaper materials to construct the US low income houses. To me this is despicable behavior because its profiting at the cost of others well being. There is no better service or product provided, instead it is an inferior service to net a profit.",,,6,2,6,2,7,2,5,3,6,6,6,5,47,2,2,5,6,6,2,6,4,2,5,2,5,6,6,5,4,6,32
unethical and short termist,,,7,1,6,1,6,2,6,2,7,7,6,6,51,2,2,5,6,2,2,6,6,1,6,6,6,6,6,6,6,6,36
It’s horrible to put profits over quality. ,,,7,1,7,1,1,1,6,1,7,7,7,7,49,1,5,4,7,1,1,7,5,1,1,7,7,7,7,7,6,7,41
"I think is typical profit driven, selfish behavior on the part of this company that doesnt need to cut corners to be profitable. It is driven by greed and it is reprehensible but extremely common.",,,7,1,6,1,7,1,7,1,7,7,7,7,55,1,1,7,7,1,1,7,7,1,7,7,7,7,7,6,7,6,40
"cutting costs in communities of color is wrong, that being said why dont theywealthy white areas. I suppose they would have consequences and get sued,and probably go out of business. Does seem reasonable to you",,,7,1,1,2,7,1,6,1,7,6,7,7,48,1,1,7,7,1,1,6,6,1,7,7,6,2,2,5,1,2,18
It is deceptive and very wrong.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,6,7,1,1,7,7,1,7,7,5,5,6,5,6,6,33
Their behaviour is extremely unethical and deplorable.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,7,5,5,4,2,5,28
Low quality materials ,,,6,2,7,1,7,2,7,2,6,7,6,6,52,5,1,5,6,2,2,6,6,1,7,6,7,7,7,7,7,7,42
I think it is unacceptable ,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,4,4,1,3,3,4,19
Its unethical,,,7,1,7,1,7,1,6,1,7,7,7,7,55,1,1,7,7,1,1,6,6,1,7,7,7,7,7,7,5,5,38
I think it stinks. They are taking advantage of the poor in order to make money. Nothing wrong with making money but not at the expense of the disadvantaged.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,7,7,7,7,7,7,42
"I think its greedy and that they preyed upon the less fortunate for profit knowing full well that homeowners of a certain income bracket are less likely to sue. In short, I think it sucks.",,,7,3,5,2,6,1,6,2,5,6,7,6,48,1,1,6,5,2,3,6,4,3,6,6,7,6,6,2,4,5,30
"I think its a dirty play, especially since they knew what they were doing and who it would impact.",,,7,2,7,1,7,1,6,1,6,7,7,7,54,7,1,6,7,1,1,6,6,1,7,6,6,6,6,5,5,5,33
I don’t like the fact that they started using cheaper materials just to save money. ,,,6,1,7,1,7,6,6,2,7,7,2,6,48,3,3,5,6,5,3,5,6,3,4,3,7,7,7,7,7,7,42
Theyre acting in a poor manner.  Theyre putting money over quality and not caring about their customers.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,4,4,7,1,1,7,7,1,7,7,7,7,7,7,6,7,41
I think its irresponsible of them to have this behavior. I also think they are being dishonest with their customers. ,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,7,7,7,7,7,7,42
Criminal,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,5,5,5,5,5,5,30
Thats really really bad behavior. I would also describe it as sleazy. ,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,2,1,1,5,5,4,18
Its underhanded and normal for American corporations.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,1,1,1,1,1,1,6
I think its sadly typical but incredibly immoral.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,7,5,1,5,1,5,24
"I believe that their behavior is unacceptable. Using cheaper materials in order to make more money and build homes is not only selfish, but detrimental as the buyers of homes are impacted.",,,7,1,6,1,7,2,5,2,7,7,6,6,51,4,5,6,7,2,4,7,7,1,7,6,4,2,4,3,5,4,22
"dishonest, unethical and perhaps illegal",,,7,1,7,1,7,1,5,1,7,7,7,7,54,1,1,6,6,1,1,7,7,1,7,7,7,7,6,6,6,6,38
It worked out in the short term but after a while they suffered the consequences for cutting corners.,,,6,2,6,2,7,2,5,2,6,6,6,6,48,2,1,5,6,2,1,6,5,7,7,7,5,4,3,3,2,4,21
"I think its kind of sleazy. Cutting corners to maximize profits is cheap, and Crimson One should hold themselves to a higher standard and be proud of their product.",,,6,2,7,1,6,1,5,2,6,7,7,6,50,2,2,3,5,2,2,5,5,1,6,6,6,6,6,6,6,6,36
Seems like they want to make money at the expense of their buyers.,,,6,2,5,2,5,2,4,2,6,6,6,6,44,4,4,4,6,4,3,6,5,3,5,5,5,6,6,5,5,6,33
It is terrible. They should be taken to court and forced to pay reparations to their customers. ,,,6,1,6,2,6,1,2,2,7,6,7,6,46,1,2,6,6,1,1,7,7,1,7,7,6,6,6,6,6,6,36
unethical,,,7,1,7,1,6,1,7,1,7,7,7,7,55,1,1,7,7,1,1,7,7,1,7,7,4,4,4,4,4,3,23
I think this is highly unethical.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,4,4,4,4,4,4,24
I think they are immoral and unethical.,,,5,2,7,2,7,1,3,3,6,6,7,5,46,2,1,7,6,1,2,7,6,2,7,6,3,5,3,5,4,5,25
He is focusing on his profit and not on quality of his product. ,,,7,1,7,1,7,1,7,1,7,7,7,7,56,5,5,2,7,1,1,7,7,2,7,7,7,7,7,7,7,7,42
I think its unethical but on the other hand its providing more housing for people who may not have housing otherwise,,,6,1,5,1,5,1,6,3,7,7,7,5,48,1,1,3,5,1,2,5,6,3,7,6,3,2,2,2,2,2,13
"Crimson One is asking for trouble.  Maybe the companys short-term profits will be enhanced and their balance sheet will look very good- at least for a while.  However when it becomes apparent sometime down the line that corners were cut in the construction of their properties, disgruntled property owners will probably take legal action against the company.  And even if Crimson One manages to avoid legal repercussions and escape crippling damage judgments , the negative publicity arising from when their shoddy construction methods will no doubt cause the company irreparable harm.",,,7,1,7,1,7,1,7,1,7,7,7,7,56,2,2,4,6,1,1,7,7,1,7,7,7,7,7,7,6,7,41
I think Crimson Ones behavior should be reprimanded. They should pay for the repair.,,,6,1,6,2,6,2,5,2,7,6,6,6,48,3,2,4,5,3,2,5,5,2,5,6,6,6,6,6,6,6,36
This is unethical and possibly also illegal.,,,6,1,6,1,7,1,6,2,7,7,7,6,52,1,1,7,7,1,1,7,6,1,7,7,5,4,4,6,4,6,29
I dont think its fair that they are using cheaper material for building houses.  I think that its morally wrong and in the long run could really hurt many families.,,,6,2,7,1,7,1,5,3,6,7,7,5,50,4,4,6,6,2,2,7,7,1,7,7,6,6,6,7,7,7,39
typical to cut cost to save money upfront,,,7,2,7,1,6,2,5,3,6,7,6,5,49,3,2,3,5,5,2,6,5,2,7,7,5,6,6,7,6,6,36
"I think Crimson One has a bad behavior of selfish by deciding to increase their profits and start employing cheaper materials to construct houses in low-income US suburbs, where it can go unnoticed. ",,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,7,7,7,7,7,7,42
"I believe Crimeson Ones behavior is greedy and unacceptable. By employing cheaper materials, many of these residential properties will deteriorate quickly.  The people who live in these low income homes dont have the money to spend on maintenance and repairs. Furthermore, building these residential properties with cheaper materials could pose a danger to anyone living in them. Crimeson One is taking advantage of the situation because they believe no one will notice.",,,7,1,7,1,7,1,6,1,7,7,7,7,55,2,2,7,6,1,2,7,7,1,7,7,7,6,6,5,6,6,36
I think that Crimson One behavior is tasteless and very dishonest.,,,7,1,7,1,7,1,4,1,7,7,7,7,53,1,4,4,7,1,1,7,7,1,7,7,6,6,6,6,6,6,36
I think that is appalling unless they had made it known that they were using cheaper materials in the build. ,,,7,2,7,7,7,1,6,2,6,1,7,6,47,2,1,6,6,1,1,6,6,1,6,7,7,7,7,6,7,6,40
"I think the behavior of Crimson One to be dishonest, immoral, and greedy. It makes me angry to think about those who have been taken advantage of by Crimson One. It is not right and certainly not fair in any case.",,,7,1,6,1,7,1,7,1,7,7,7,7,55,1,1,7,7,1,1,7,7,1,7,7,7,7,7,5,6,6,38
I dont think its very professional and its selfish,,,6,3,6,2,6,2,6,2,5,6,6,6,47,3,2,6,7,2,2,6,6,2,6,6,7,7,7,7,7,7,42
its reprehensible.  aside from money that homeowners have to spend there is a possibility someone could get hurt or killed.,,,7,1,7,1,7,1,2,1,7,7,7,7,51,4,4,4,7,1,1,7,7,1,7,7,4,5,4,5,4,5,27
It’s unethical and wrong ,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,5,1,7,7,7,7,7,7,7,7,42
I think its deceptive and designed to save a buck instead of ensuring the highest quality products.,,,7,3,6,2,6,1,5,4,5,6,7,4,46,1,1,4,4,1,1,7,7,1,7,7,6,6,5,5,6,6,34
I think its in humane what Crimson One is doing. They are not looking out for the better good of their customers.,,,6,1,6,4,6,4,5,2,7,4,4,6,44,2,2,4,5,2,2,4,5,6,5,5,4,5,4,4,4,4,25
I think their behavior and standards are immoral and wrong.,,,6,3,6,2,6,1,6,2,5,6,7,6,48,1,1,1,7,1,1,6,7,1,7,7,7,7,7,7,7,7,42
I think the practice of this company is deceiving and unethical.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,7,5,4,4,7,4,31
"Unacceptable, disgusting, immoral",,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,4,4,4,4,4,4,24
"Deplorable.  Profits over people, typical business model.",,,7,1,6,1,7,1,7,1,7,7,7,7,55,1,1,7,7,1,1,7,7,1,7,7,4,4,4,5,4,5,26
"It is a way to cheap out to a certain kind of community to make money, which I dont agree with.",,,6,1,6,1,7,1,7,1,7,7,7,7,54,1,1,7,7,1,1,7,7,1,7,7,4,4,4,7,4,7,30
It is despicable and greedy,,,7,1,6,1,7,1,6,1,7,7,7,7,54,2,3,7,7,1,2,6,6,2,6,6,6,7,5,6,6,7,37
"Sketchy, shady, and unethical",,,7,1,5,1,7,1,5,2,7,7,7,6,51,2,1,6,7,2,1,6,6,2,7,6,7,2,4,3,2,2,20
Its horrible but not uncommon in todays day and age. Anything to make sure that CEO gets his third yacht.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,3,3,3,2,2,2,15
I think its disgusting. ,,,7,1,7,1,7,1,7,1,7,7,7,7,56,7,7,7,7,1,1,7,7,1,7,7,7,7,7,6,7,6,40
I think it is despicable to cheat people who can least afford to be cheated through the use of shoddy materials ,,,7,1,7,1,7,1,7,2,7,7,7,6,55,1,1,5,6,1,1,7,7,1,7,7,6,6,6,7,6,6,37
Reprehensible Behavior.,,,7,1,6,1,7,1,7,1,7,7,7,7,55,1,1,7,7,1,1,7,7,1,7,7,4,4,4,4,4,4,24
Using cheaper materials is not a good choice as it costs the home owner more in the long run due to repairs,,,5,3,5,3,6,2,5,2,5,5,6,6,43,2,2,2,6,2,2,6,5,2,6,6,6,6,7,6,7,6,38
I think they got greedy and greed will be thier downfall eventually.,,,6,1,7,2,6,1,7,2,7,6,7,6,52,3,2,6,7,2,2,7,6,1,7,1,4,5,5,5,5,4,28
"Its unethical and immoral to exploit low income purchasers without disclosing that they did so, especially given that it was to increase their own margins (not make housing more affordable for those buyers by passing the savings on to them). ",,,7,1,6,1,7,1,7,1,7,7,7,7,55,1,1,7,7,1,1,7,7,1,7,7,7,3,5,7,3,7,32
"Selfish, dirty,greedy",,,7,1,7,2,7,1,7,1,7,6,7,7,55,1,1,7,7,1,1,7,7,1,6,6,7,7,7,7,7,7,42
I think they are doing what other companies are doing. They are paying for cheap materials to save money.,,,6,2,6,2,6,1,4,2,6,6,7,6,47,2,2,2,6,4,2,2,4,6,5,5,4,2,4,5,4,5,24
Thats not good at all,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,7,1,1,1,1,1,12
I think their behavior is very selfish and greedy. They are not caring at all about the people that will be living in their buildings and the issue with safety.,,,7,1,7,1,7,1,7,3,7,7,7,5,54,1,1,5,5,1,1,6,6,1,7,7,7,7,7,7,7,7,42
"The companys decision to use cheaper and less durable materials, without any public disclosure about this, and the unfair targeting of this strategy against low-income buyers, constitute unethical business practices.  From a cynical business perspective it might be viewed as simply a profit-chasing strategy, but nevertheless these practices would ultimately fail to meet the truest standards of good business.  My opinion of the company and its behavior would be unfavorable, if they were to continue these practices as described.",,,6,2,6,2,6,2,6,2,6,6,6,6,48,2,2,6,6,2,2,6,6,2,6,6,7,7,7,7,7,7,42
I think it is a very low down thing to do. Build a reputation for quality work and material and then take advantage of customers who liked what they heard or read about the company by shorting them on quality for an increase in profit.,,,7,1,7,1,7,1,7,4,7,7,7,4,53,2,4,6,7,1,1,7,7,1,7,7,6,6,6,6,6,6,36
Typical of a construction company.,,,7,2,6,6,7,2,7,2,6,2,6,6,47,1,1,6,7,1,2,7,7,1,7,7,7,7,7,7,7,7,42
I find it appealing that they would take advantage of those who are not financially well off ,,,7,1,6,1,7,1,7,1,7,7,7,7,55,1,1,7,7,1,1,7,7,1,7,7,4,3,4,5,4,5,25
Selfish overall,,,7,1,4,2,7,2,7,2,7,6,6,6,50,2,3,5,6,1,1,6,6,1,6,7,5,5,5,5,4,5,29
I think their behavior is unbecoming. It suggests that they lack integrity.,,,6,2,6,2,7,1,6,2,6,6,7,6,50,1,1,6,6,1,1,7,5,1,7,6,7,7,7,6,5,6,38
I do not have a very positive attitude towards them when they changed from wanting to build quality houses to using cheap materials to make more money.  I feel very bad for the people who bought those houses and now had to make repairs because of bad materials that crimson one used. Bad business practice. ,,,7,2,6,1,7,1,5,2,6,7,7,6,51,1,1,6,7,1,2,6,6,1,6,6,7,7,6,6,5,6,37
I think it is a shame to decide to use cheaper supplies.  That is bad for their customeres.,,,7,3,6,3,7,2,6,5,5,5,6,3,45,3,4,4,7,1,2,4,6,2,5,7,7,7,7,6,7,6,40
The behavior is unethical and demonstrates a high level of cruelty. The actions arent surprising and sadly more than likely a common practice.,,,7,1,6,1,7,1,7,1,7,7,7,7,55,1,1,7,7,1,1,6,7,1,7,7,4,3,4,3,4,3,21
It is not ethical and it is very disappointing. ,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,4,7,1,1,7,7,1,7,7,6,6,6,6,5,5,34
"I find fault with a Company that think only about profit, and disregard for cheaper material.",,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,4,4,4,4,4,4,24
I think its deceitful for a business to do this. It should be criminal.,,,7,1,7,1,7,1,6,1,7,7,7,7,55,1,1,7,7,1,1,7,6,1,7,6,6,6,6,5,6,5,34
"I dont like it and think it is unfair, unreasonable and should be thought of as careless and unreliable. ",,,5,1,5,3,5,2,6,3,7,5,6,5,44,2,2,5,5,1,2,5,5,1,1,5,7,7,6,7,7,7,41
I think it is disgraceful that the company would use such cheap material just to make more profit knowing that they are building with material that will not hold up.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7,7,7,7,7,4,7,39
"Unfortunately, it is an economically rational behaviour. If it wasnt them, somebody else wouldve done it. The only issue I see here is that they didnt think about the damage to their image. I need more context.",,,5,3,6,2,5,2,4,2,5,6,6,6,43,1,1,4,7,2,4,6,1,1,7,7,7,7,7,3,7,6,37
The behavior is somewhat dishonorable.,,,6,1,7,1,7,1,5,2,7,7,7,6,52,2,2,4,6,1,3,6,5,1,7,6,6,6,5,5,6,6,34
It is inmoral ,,,6,1,6,1,6,2,7,3,7,7,6,5,50,2,3,5,7,1,1,6,4,1,7,7,7,7,7,7,7,7,42
