What do you think about the behavior of Crimson One?,You will be presented with some statements. Please choose your level of agreement with the statements using the options given. ,Here is a reminder of the scenario in case you need it. Please take into account that all the questions will make reference to it:  Crimson One is an American construction business that builds residential properties in the USA. The business has around 300 employees. Crimson One has been operating for over ten years and its financial situation is very good. One day Crimson One owners decide to increase their profits and start employing cheaper materials to construct houses in low-income suburbs where it can go unnoticed. Similar strategies have been widely implemented across the industry for the last months by other USA companies. Crimson One owners decide to follow suit and do the same even though they don’t need to do this in order to continue being profitable and competitive. The strategy is a success for Crimson One and the business owners decide to stick with it. However many American homeowners and tenants are eventually impacted by the use of cheap materials and they later find themselves spending money on house maintenance and repairs. ,Dir1,Dir2,Dir3,Dir4,Ind1,Ind2,Ind3,Ind4,,,,,,Eq1,Eq2,N1,N2,Des1,Des2,Dep1,Dep 2,Bla1,Bla2,Bla3
"I think it represents that companies value profits over people.  I feel that they should try to make a profit, but doing so in a way that negatively affects those in low income areas is reprehensible.  You can see in most industries how products now seem to have a short life span.  My mother's washer and dryer lasted decades and today the new fancy machines seem to crap out after a few years.  It is that same mentality for newer homes.  Build them cheap and quick to make more money, screw the homeowners.",,,7,2,7,1,7,1,6,1,6,7,7,7,54,1,1,7,6,1,1,6,7,1,6,4
it's bad,,,6,2,6,1,6,1,6,1,6,7,7,7,51,2,1,6,7,1,1,6,6,1,6,7
It was cheap and greedy. The don't care about the customer.,,,7,1,7,7,7,1,5,1,7,1,7,7,48,1,1,7,7,1,1,7,7,1,7,3
I feel their behavior was shameful and a true detriment to their customers.,,,7,2,7,1,7,1,7,1,6,7,7,7,55,2,6,2,6,1,1,6,7,1,7,7
Max the profits. ,,,4,3,5,3,4,3,5,3,5,5,5,5,38,1,1,6,7,1,1,7,7,1,7,7
I think it's typical of a big business to try and take the cheaper route so they can spend less money. I don't agree with doing this at all because it hurts the employees and the consumers.,,,7,2,6,2,6,2,5,2,6,6,6,6,48,2,2,4,6,2,2,6,6,1,7,7
"I think it's horrible because it's not only dangerous, it also is unfair to people that are already having a hard time. It's disgusting that they would do this to people just because they know they won't face consequences due to the area.",,,7,1,6,1,7,1,7,1,7,7,7,7,55,1,1,7,7,1,1,7,7,1,7,7
I think it was a greedy move to use cheap materials.,,,7,1,7,6,7,1,5,2,7,2,7,6,48,1,1,6,6,1,1,7,5,1,7,7
"I think its short sighted, sure they will be able to make a profit in the short term however long term I believe their reputation will be hurt when people realize they build subpar buildings.",,,6,2,6,1,6,1,7,1,6,7,7,7,52,1,1,4,6,2,1,6,7,1,7,7
"It was immoral.  Although others in the industry do as well, Crimson One was generating a profit previous to its new strategy.  They didn't need to take this action.  It was strictly for profit and they knew the materials were substandard.",,,4,2,7,2,6,1,6,2,6,6,7,6,48,2,3,6,5,2,2,6,6,2,5,6
"It is very sad that they are willing to sacrifice quality for their own profit, but I can see why many companies do it.",,,7,1,6,1,7,1,6,2,7,7,7,6,53,4,4,6,6,2,3,7,6,1,7,7
The behavior is detestable.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,5,6,1,3,3
"This is unethical and immoral behavior. They are hurting people financially in the long run, and they are hurting the people who can least afford the financial hurt.",,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
"This is quite common and unfortunately, most people don't know the difference when hiring a contractor and the difference between materials.  They're just concerned about cost and will sacrifice quality for a better price only to find down the line that things start falling apart.  Then they blame the contractor when they're the ones who made the decision originally.  Terrible because whoever buys the home later will end up with an inferior product.",,,7,1,5,1,7,1,2,1,7,7,7,7,49,4,6,7,7,2,3,7,7,2,7,7
"I think that it is unethical especially as they are primarily targeting low-income housing, as this population has little means to perform repairs and speak out against them. ",,,7,2,6,2,7,2,6,2,6,6,6,6,50,1,1,6,6,1,1,7,7,2,7,4
I think it’s poor ethically ,,,7,1,6,2,6,1,4,2,7,6,7,6,49,1,1,6,6,1,2,6,5,1,6,6
I think it is unethical and although they think they got away with using cheaper materials in low income areas I believe what they did will eventually come to light.,,,6,1,7,1,7,1,6,2,7,7,7,6,53,1,1,6,6,1,1,7,7,1,7,6
its total greed and its terrible,,,7,2,6,2,6,2,7,2,6,6,6,6,50,2,1,6,6,2,2,6,5,1,7,7
it is common and despicable. no integrity. ,,,7,1,6,1,7,1,7,1,7,7,7,7,55,1,1,7,7,1,1,7,7,1,7,7
I think that it’s contemptible ,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
I think that Crimson One is not trustworthy and they are only out for themselves and do not care about the negative impact this change will have on it's customers.,,,6,2,6,2,7,1,5,1,6,6,7,7,50,2,2,6,7,1,2,5,6,1,7,7
I think it was unethical but not surprising.,,,5,3,5,3,5,3,5,3,5,5,5,5,40,4,4,7,7,1,1,7,6,1,7,7
"This is a typical scenario common in most, if not all, consumer orientated businesses today. It will lead to the degradation of society. ",,,7,2,6,1,7,1,6,2,6,7,7,6,52,2,2,6,7,1,1,7,6,1,7,6
"I think their behavior is a widely used practice, but I also think it's terrible. Poor people already struggle to make ends meet, and their sub-standard materials will cost poor people more money in repairs. Since they were successful (turned a profit) with high quality materials, I would love to see them continue using high quality materials. Unfortunately I think most businesses are out to make the most money and will cut corners when possible. ",,,6,2,6,2,6,2,6,2,6,6,6,6,48,1,1,7,7,1,1,7,7,7,7,7
This kind of behavior perpetrated by companies is appalling and disgusting. ,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,3,7
The executives have decided to become greedy and put profits foremost.,,,7,2,7,2,7,2,3,1,6,6,6,7,49,1,1,3,2,1,4,5,6,1,6,5
"It is typical of American business. The goal of the company is to make as much money as possible and enrich the owners. They will lie, cheat, and do anything they can, legal and illegal to increase their wealth and steal from the general public.",,,7,1,6,1,7,1,6,1,7,7,7,7,54,2,2,6,6,1,1,7,7,1,5,7
"I think it is deplorable. They should not do these shortcuts and using cheap materials on anyone, especially those with the least means.",,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,6,1,1,7,6,1,7,7
I think it is shameful. I am sick of companies only caring about profit. You can both be concerned about profit and safety and look out for people.,,,7,1,7,1,7,1,6,1,7,7,7,7,55,1,1,6,7,1,1,7,6,1,7,7
"They have the freedom to do this, but I don't like it. They can make as much as they want, but if the products are shoddy then it should be noted.",,,6,4,6,3,3,3,2,3,4,5,5,5,36,3,3,4,5,3,3,5,5,2,2,2
It was greedy and unnecessary. They will probably now pay for it later with law suits and other issues. ,,,6,2,6,2,6,2,6,2,6,6,6,6,48,4,4,1,7,1,1,7,7,1,7,7
I would say they are a horrible company that only cares about the bottom dollar and not sending out a quality product.  They don't care about their image for the future.,,,6,2,7,1,7,2,6,1,6,7,6,7,52,4,3,5,6,1,3,7,7,7,7,7
It was justifiable given the houses are considered low income and lower cost therefore lower quality. ,,,2,4,5,4,2,3,3,6,4,4,5,2,27,5,5,2,1,4,6,6,3,1,7,7
Crimson is cheap product buy this is not a good quality for Crimson .,,,5,3,6,3,6,4,6,7,5,5,4,1,38,7,6,3,4,6,7,5,7,3,5,6
Crimson One behavior was unethical which I believe will impact them in the long run.,,,6,1,6,1,7,2,6,2,7,7,6,6,51,1,1,2,6,1,1,6,6,1,7,6
Immoral,,,7,3,6,1,6,1,6,1,5,7,7,7,51,1,1,6,6,2,1,6,6,1,6,5
I think their behavior is unethical and dishonest.,,,7,1,6,6,7,1,6,1,7,2,7,7,49,1,1,7,7,1,1,7,6,1,6,6
"I think that the behavior is selfish and the pinnacle of capitalism, valuing maximum profit over quality of life for american people.",,,7,1,7,1,7,1,6,1,7,7,7,7,55,2,2,7,7,1,1,6,6,1,6,7
"On the one hand, they are building low income housing, which is good.  On the other hand, if the materials used are too cheap the houses won't stand up properly and will end up being more expensive for the homeowners in the long run.",,,3,4,5,3,4,2,3,4,4,5,6,4,34,4,3,4,6,4,4,3,3,1,4,2
"I think that Crimson One's behavior was not moral, ethical, or the right the to do. I think it was wrong of Crimson One to start employing cheaper materials in the low income suburbs, and it was also deceiving of them to knowingly do it in hopes of not being noticed. However, I think Crimson One was more inclined to participate in this behavior because of the similar strategies that had been implemented across the industry. Therefore, even though I think Crimson One was wrong for their behavior and should take responsibility, I think pressure from other similar strategies in the industry caused them to do something they otherwise might not have done.",,,5,1,6,1,6,1,6,1,7,7,7,7,51,2,2,6,6,3,1,6,6,1,6,6
It is very unethical and unfair to the lower income people. It is greedy.,,,6,1,7,2,7,1,6,2,7,7,7,6,53,2,1,6,5,2,6,5,5,1,7,7
It is unethical and wrong.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
I think it is wrong to do what Crimson One is doing.  Just because they can build cheaper homes for less income people why would they?  The poor people have enough problems they do not need house worries too,,,6,2,7,2,7,2,5,4,6,6,6,4,47,1,1,4,6,1,2,7,6,1,7,7
I think their choices will end up costing them more money which will make them see less profit,,,4,4,4,4,4,4,4,4,4,4,4,4,32,1,1,1,4,1,4,1,4,1,6,6
I think it's unethical ,,,6,1,7,1,7,1,6,2,7,7,7,6,53,4,1,3,6,1,1,5,5,5,3,3
Disappointing but typical and unsurprising. Profits are more important than anything else.,,,6,2,6,1,5,2,3,1,6,7,6,7,46,1,2,4,6,1,3,7,5,1,6,5
"I think it's horrible for Crimson One to do this when they don't have to.  It's so unethical, especially to do this to low income people. They are probably so happy when they get to move into a new place and then find out later that they have been duped. Also, all the money they have to spend on repairs. ",,,7,1,7,1,7,1,6,2,7,7,7,6,54,1,1,6,6,2,2,6,6,1,6,6
"I think it's pretty shady, personally. If you're already a profitable company, why cut costs lower at the risk of your integrity? That is something so few companies have now and I think it's really important.",,,7,1,6,2,6,1,5,1,7,6,7,7,51,1,1,6,7,1,2,7,6,3,5,6
"I think it's awful, unfair and immoral.",,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
"This is terrible, charge the rich more not the poor. This is a massive problem with the world, grinding the poor to dust to extract resources from them.",,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
A very unfair business practice.,,,6,3,7,2,6,2,3,4,5,6,6,4,43,5,6,3,4,4,3,7,3,1,6,6
"I think that it is a little bit questionable.  I think the use of the cheap materials, while allowing the company to be profitable, has negative impact on homeowners down the line as they have to pay for major repairs on their homes.",,,5,3,6,3,6,3,5,3,5,5,5,5,42,6,6,5,6,3,3,5,5,3,5,5
It's greedy and will end up costing them more in the long run when their reputation suffers and people move away from using them to using companies that use higher quality materials. I also think they're kind of jerks for skimping on quality in low-income areas and making the people that live in their shoddy homes suffer and have to pay more money to fix their on-purpose behavior.,,,7,1,6,1,7,1,5,1,7,7,7,7,53,1,1,6,7,1,1,7,7,1,7,7
It is unethical ,,,6,1,7,2,7,1,6,1,7,6,7,7,53,1,2,5,6,1,1,7,7,2,7,5
"Its not ethical to do, but like many businesses, they cut costs where they can and this happens anyway.",,,6,2,6,2,7,2,6,3,6,6,6,5,48,3,3,6,6,3,3,7,5,1,5,5
"It is criminal at worst, sad at best but unfortunately how many builders work.",,,7,1,7,1,7,1,6,1,7,7,7,7,55,2,2,7,7,1,1,7,7,1,7,7
It is abhorrent that a company would screw over low income people who probably scrimped and saved for years for a house and can not afford these repairs. It is even more hateful to only do this to low income people especially when they would not be able to afford the eventual repairs. This company is hateful and greedy. ,,,7,1,6,1,7,1,7,1,7,7,7,7,55,1,1,7,7,1,1,7,7,1,7,7
I think it is unethical because that will put more strain on the homeowners or landlords to keep repairing their homes.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,5,1,7,6
I think it's bad.  They were already making a profit and were successful.  This move just screws over people who already have a hard time affording homeownership and then they use cheap materials that cause them to spend money on repairs.  ,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
I think it is unfair and unreasonable to take advantage of the poorer people by using low grade materials.,,,6,2,6,2,6,2,6,2,6,6,6,6,48,2,2,6,6,2,2,6,6,2,6,6
the behavior is irresponsible as subpar materials will result in lower quality products that require more maintenance and repairs.  this is shday and greedy and not putting the needs of the customer first.,,,7,1,7,1,7,1,6,3,7,7,7,5,53,1,1,6,6,1,1,7,5,1,1,7
"I think it's scummy, but not surprising. Capitalism is basically about maximizing profits to the detriment of all else. It doesn't matter what's best for the consumer unless it's also best for the bottom line.",,,7,1,5,1,7,1,7,1,7,7,7,7,54,1,1,7,7,1,1,7,7,1,5,6
No big thoughts. They just did what everyone else was doing.,,,2,6,2,6,2,6,2,6,2,2,2,2,16,6,6,2,2,6,4,2,2,4,2,2
"It's unfortunately typical of big companies. Not even just in construction, though it's definitely worse to build crappy homes. But, companies are always looking for ways to shave off a penny.",,,7,1,5,2,7,1,7,1,7,6,7,7,53,1,1,7,7,1,4,7,6,1,7,7
i think they are trying to save money,,,6,2,6,2,6,3,5,3,6,6,5,5,45,3,2,5,5,3,3,5,5,3,5,5
"I think it is very unethical behavior for two main reasons. First, the company was already profitable before deciding to start using poorer quality materials to build homes. Second, it is especially wrong to use these poor materials on low-income homes, as these residents are probably not able to afford the inevitable repairs they will need to make to the property.",,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,6,7,1,7,7
I think it is very irresponsible and unethical to target low income people.,,,6,2,6,1,7,1,6,2,6,7,7,6,51,1,1,6,5,1,2,7,6,2,7,7
"I do not like it. If the company continues to be profitable with top of line materials, then they should continue to use them and not go along with what other companies do in using cheaper items.",,,6,3,7,2,7,2,5,2,5,6,6,6,48,2,2,5,7,2,1,7,6,1,7,7
It's immoral and unethical to me. Very discriminatory to the less fortunate,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
Very self-serving but I suppose typical. Companies do try to keep their costs low and profits high as a rule.,,,4,4,5,4,4,4,4,4,4,4,4,4,33,4,3,4,6,4,5,6,5,1,4,4
"I think  it is immoral and unacceptable for them to do this, especially when they didn't even need the extra profits to be a profitable company.",,,6,1,7,2,7,1,7,1,7,6,7,7,54,2,2,6,7,1,1,7,6,1,7,7
I think it is deplorable and despicable,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,7,7
It's a terrible thing to do. There's no quality anymore. People pay a lot for a house and they should get good quality.,,,7,1,7,1,7,1,7,1,7,7,7,7,56,4,4,7,7,1,3,7,7,1,7,7
"While typical in the industry, their approach is one that is unethical - it focuses on their bottom line rather than the well-being of future occupants.",,,7,2,7,2,7,1,5,1,6,6,7,7,52,1,1,6,2,1,1,7,7,1,7,7
I think they are not a good company and only care about money. They seem selfish.,,,5,3,5,3,6,2,6,1,5,5,6,7,45,1,4,7,7,1,1,7,7,1,7,7
"typical for a lot of businesses, profit before all else, consequences for others be damned",,,7,1,7,1,1,1,7,1,7,7,7,7,50,1,1,7,7,1,1,1,1,1,7,7
It is a smart business move but not good for their clientele. ,,,6,2,6,3,6,1,3,3,6,5,7,5,44,2,2,6,5,2,5,7,6,2,2,7
They are a horrible company. ,,,7,1,7,1,7,1,7,1,7,7,7,7,56,1,1,7,7,1,1,7,7,1,1,1
"Its horrible to do that to people, especially when you don't have to or need to.",,,7,1,7,1,7,2,7,2,7,7,6,6,54,3,2,7,7,1,1,7,7,1,7,7
I think it is a lame decision from a greedy company. ,,,6,2,6,2,6,6,6,6,6,6,2,2,40,3,6,6,6,3,3,4,3,4,5,4
I think it has great potential to build a great future,,,6,3,4,5,5,4,6,4,5,3,4,4,37,6,6,4,5,6,5,6,4,6,4,5
"shady, immoral.",,,7,1,7,1,7,2,6,1,7,7,6,7,54,2,2,6,7,1,3,7,7,1,5,6
I think its a company that generates a lot of income and is trustworthy. This company cares mostly about its profits as do most business in the US. ,,,3,5,3,5,3,5,3,5,3,3,3,3,24,5,5,2,2,5,5,6,5,3,5,5
